1.406968688964843750e+01,1.574104738235473633e+01,1.630829286575317383e+01,8.576739072799682617e+00,7.523179054260253906e+00,5.029751300811767578e+00,5.467820405960083008e+00,3.118589878082275391e+00,3.297570943832397461e+00,3.511090517044067383e+00,3.715943336486816406e+00,3.934319734573364258e+00
1.374975347518920898e+01,2.042825818061828613e+01,1.687634968757629395e+01,1.044213962554931641e+01,8.945137262344360352e+00,6.342519760131835938e+00,7.235112905502319336e+00,4.095145463943481445e+00,4.465715408325195312e+00,4.754761934280395508e+00,5.147451162338256836e+00,5.289993047714233398e+00
1.968971228599548340e+01,1.941222500801086426e+01,2.124286937713623047e+01,1.195590066909790039e+01,9.748076677322387695e+00,5.697568893432617188e+00,5.733154773712158203e+00,3.239602327346801758e+00,3.304248809814453125e+00,3.502745389938354492e+00,3.683424472808837891e+00,3.892928123474121094e+00
1.223988270759582520e+01,9.588555097579956055e+00,1.021723079681396484e+01,8.541137456893920898e+00,7.560937643051147461e+00,5.049361467361450195e+00,5.404229640960693359e+00,3.074583292007446289e+00,3.298513174057006836e+00,3.503516197204589844e+00,3.704665660858154297e+00,3.916502952575683594e+00
9.742998123168945312e+00,1.432080364227294922e+01,1.030461239814758301e+01,8.542818784713745117e+00,7.584713459014892578e+00,5.076573848724365234e+00,5.358394861221313477e+00,3.086942195892333984e+00,3.292108535766601562e+00,3.506953001022338867e+00,3.717695236206054688e+00,3.925071477890014648e+00
7.450761079788208008e+00,1.283806157112121582e+01,8.831237316131591797e+00,7.720707178115844727e+00,7.475544452667236328e+00,5.125906944274902344e+00,5.413763523101806641e+00,3.089007616043090820e+00,3.293978214263916016e+00,3.506162166595458984e+00,3.713041782379150391e+00,3.932151794433593750e+00
6.288164377212524414e+00,1.115218186378479004e+01,1.119101691246032715e+01,8.159252166748046875e+00,6.818237066268920898e+00,5.061061143875122070e+00,5.413916349411010742e+00,3.134381532669067383e+00,3.297736644744873047e+00,3.508728742599487305e+00,3.720416069030761719e+00,3.923168420791625977e+00
6.109181165695190430e+00,7.311034202575683594e+00,1.151143622398376465e+01,5.938535928726196289e+00,6.410221338272094727e+00,5.051090002059936523e+00,5.397086143493652344e+00,3.082903623580932617e+00,3.291710615158081055e+00,3.505384922027587891e+00,3.721554279327392578e+00,3.947840452194213867e+00
3.575986862182617188e+00,1.027222156524658203e+01,1.223681735992431641e+01,8.991739034652709961e+00,6.325933218002319336e+00,4.638166904449462891e+00,4.993777275085449219e+00,3.092890977859497070e+00,3.299622535705566406e+00,3.518893241882324219e+00,3.723873138427734375e+00,3.917639255523681641e+00
6.456056594848632812e+00,1.736503624916076660e+01,1.956451416015625000e+01,1.392673707008361816e+01,1.174580430984497070e+01,5.359235763549804688e+00,3.817303419113159180e+00,3.106862783432006836e+00,3.321173667907714844e+00,3.549382925033569336e+00,3.748125791549682617e+00,4.021162033081054688e+00
9.496457338333129883e+00,1.413619041442871094e+01,1.604580712318420410e+01,1.779385185241699219e+01,1.250385499000549316e+01,5.091677665710449219e+00,3.741473674774169922e+00,3.861423015594482422e+00,5.503262996673583984e+00,4.137747764587402344e+00,3.575959205627441406e+00,3.831312894821166992e+00
9.366299867630004883e+00,1.423772478103637695e+01,1.592707753181457520e+01,1.770531606674194336e+01,1.255216789245605469e+01,5.109081268310546875e+00,3.693546295166015625e+00,2.988854885101318359e+00,3.180853843688964844e+00,3.391944169998168945e+00,3.600361585617065430e+00,3.809762954711914062e+00
